시군명,사업장명,인허가일자,영업상태명,폐업일자,병상수(개),의료기관종별명,의료인수(명),입원실수(개),진료과목내용,연면적(㎡),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,에이치제이매그놀리아국제한방병원,20030518,영업중,,30,,1,12,301 308 306 302,1007,경기도 가평군 설악면 미사리로 267-177,경기도 가평군 설악면 송산리 460번지,12461,37.69088732,127.5213882
가평군,송정한의원,20140102,영업중,,,1,154.98,"경기도 가평군 가평읍 장터2길 6-6, 3층",경기도 가평군 가평읍 읍내리 474번지 3호,12419,37.82956518,127.514156,,,
가평군,서진한의원,20070125,영업중,,,1,130,경기도 가평군 청평면 청평중앙로 12,경기도 가평군 청평면 청평리 434번지 25호 1층,12453,37.73590814,127.4164819,,,
가평군,경희동가원한의원,20121008,영업중,,,1,126,경기도 가평군 가평읍 가화로 140-2,경기도 가평군 가평읍 읍내리 443번지 13호,12412,37.83192408,127.5124344,,,
가평군,해암한의원,20190628,영업중,,,1,97.8,경기도 가평군 청평면 경춘로 706,경기도 가평군 청평면 청평리 650번지 8호,12454,37.73127466,127.409457,,,
가평군,호한의원,20091223,영업중,,,1,111.15,경기도 가평군 청평면 여울길 25,경기도 가평군 청평면 청평리 397번지 21호,12452,37.73719241,127.4201988,,,
가평군,조종 한의원,20181016,영업중,,,1,83,"경기도 가평군 조종면 조종희망로 5, 2층",경기도 가평군 조종면 현리 412번지 7호,12437,37.81822872,127.3490366,,,
가평군,청 한의원,20170713,영업중,,,1,166.62,경기도 가평군 청평면 시장중앙로 13 ((주)명동전기),경기도 가평군 청평면 청평리 78번지 2호,12453,37.7347759,127.4156134,,,
가평군,가평한의원,20150416,영업중,,,1,135,"경기도 가평군 조종면 현창로38번길 4-1, 2층 (서울프라자약국)",경기도 가평군 조종면 현리 265번지 2호,12437,37.81845492,127.3487083,,,
가평군,성민부부한의원,19890414,영업중,,,1,91,경기도 가평군 가평읍 중앙로 17,경기도 가평군 가평읍 읍내리 345번지 1호,12420,37.8269813,127.5137407,,,
가평군,예성한의원,20080613,영업중,,,1,150,경기도 가평군 가평읍 보납로 19,경기도 가평군 가평읍 읍내리 450번지 2호,12413,37.8309866,127.5125529,,,
가평군,경희한의원,20071109,영업중,,,2,138,경기도 가평군 조종면 조종희망로 9 (경희한의원),경기도 가평군 조종면 현리 411번지 10호,12437,37.8182906,127.349423,,,
가평군,청운한의원,19911125,영업중,,,1,148,경기도 가평군 조종면 조종희망로 44 (청운한의원),경기도 가평군 조종면 현리 279번지 1호,12437,37.8205401,127.3503989,,,
가평군,경희부부한의원,20111229,영업중,,,1,132.3,"경기도 가평군 설악면 신천중앙로 114-1, 2층",경기도 가평군 설악면 신천리 435번지 22호 (2층),12465,37.6778083,127.4911444,,,
가평군,고려한의원,20070227,영업중,,,1,139,경기도 가평군 조종면 조종새싹로 2,경기도 가평군 조종면 현리 272-3번지,12437,37.819069,127.3482,,,
가평군,설악한의원,19981018,영업중,,,1,99,경기도 가평군 설악면 신천중앙로 124-4,경기도 가평군 설악면 신천리 437-5번지,12465,37.67825365,127.4902292,,,
가평군,금강한의원,19980516,영업중,,,1,96,경기도 가평군 가평읍 보납로18번길 2,경기도 가평군 가평읍 읍내리 464번지 1호 2층,12418,37.8307082,127.5123237,,,
고양시,차연한방병원,20190423,영업중,,66,,14,21,308 307 306 305 304 303 302 301 122 120 116 111 106 105 101,1678.7,"경기도 고양시 일산동구 중앙로 1312, 4~5층 (정발산동)",경기도 고양시 일산동구 정발산동 785번지 3호,10404,37.66307688,126.7712368
고양시,동국대학교일산불교한방병원,20050711,영업중,,71,,53,22,301 302 303 304 305 306 307 308,4988,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",경기도 고양시 일산동구 식사동 814외9필지,10326,37.67643852,126.8055631
고양시,재단법인자생의료재단일산자생한방병원,20091001,영업중,,52,,35,13,301 302 303 304 305 306 307 308 101 116,2083,"경기도 고양시 일산동구 중앙로 1130, B2-01~19호 (마두동, 강촌마을6단지아파트)",경기도 고양시 일산동구 마두동 806번지 강촌마을6단지아파트,10422,37.6501211,126.7802115
고양시,후한의원,20150608,영업중,,,1,108.58,"경기도 고양시 일산서구 중앙로 1426, 206호 (주엽동, 일송노블레스)",경기도 고양시 일산서구 주엽동 66-1 일송노블레스 206호,10386,37.6701848,126.761909,,,
